accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-01-10,17:00:00,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-08-13,05:53:53,อุดรรัถยา,ปกติ,0,1,0,0,หลับใน
2016-09-10,01:39:39,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2015-12-13,02:54:54,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-06-15,16:21:21,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2015-12-26,04:06:06,อุดรรัถยา,ปกติ,0,1,0,0,หลับใน
2016-02-18,02:37:37,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-08-21,18:10:10,อุดรรัถยา,ปกติ,2,1,0,0,หลับใน
2016-08-26,23:20:20,อุดรรัถยา,ปกติ,2,0,0,0,หลับใน
2016-07-09,16:30:30,อุดรรัถยา,ปกติ,0,2,0,0,หลับใน
2016-05-13,22:58:58,อุดรรัถยา,ปกติ,1,0,0,0,หลับใน
2015-12-21,17:17:17,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-08-31,05:37:37,อุดรรัถยา,ปกติ,3,0,0,0,หลับใน
2016-03-23,18:10:10,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-09-26,07:13:13,อุดรรัถยา,ปกติ,1,0,0,0,หลับใน
2016-06-22,02:52:52,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-04-30,17:37:37,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2016-08-26,01:24:24,อุดรรัถยา,ปกติ,0,0,0,0,หลับใน
2015-12-19,04:18:18,เฉลิมมหานคร,ปกติ,0,0,0,0,หลับใน
2015-12-14,03:48:48,เฉลิมมหานคร,ปกติ,0,0,0,0,หลับใน
2016-09-10,21:32:32,เฉลิมมหานคร,ปกติ,0,0,0,0,หลับใน
2015-10-06,21:31:31,เฉลิมมหานคร,ปกติ,0,1,0,0,หลับใน
2016-09-12,01:30:30,เฉลิมมหานคร,ฝนตก,1,0,0,0,หลับใน
2016-05-20,23:49:49,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,หลับใน
